German,English
Hallo,Hello
Guten Morgen,Good morning
Guten Tag,Good day
Guten Abend,Good evening
Gute Nacht,Good night
Tschüss,Goodbye
Bitte,Please
Danke,Thank you
Ja,Yes
Nein,No
Eins,One
Zwei,Two
Drei,Three
Vier,Four
Fünf,Five
Sechs,Six
Sieben,Seven
Acht,Eight
Neun,Nine
Zehn,Ten
Wie geht's?,How are you?
Ich heiße…,My name is…
Entschuldigung,Excuse me / Sorry
Ich verstehe nicht,I don’t understand
Sprechen Sie Englisch?,Do you speak English?
Montag,Monday
Dienstag,Tuesday
Mittwoch,Wednesday
Donnerstag,Thursday
Freitag,Friday
Samstag,Saturday
Sonntag,Sunday
Wasser,Water
Brot,Bread
Milch,Milk
Kaffee,Coffee
Tee,Tea
Apfel,Apple
Suppe,Soup
Käse,Cheese
Ich,I
Du,You (informal)
Sie,You (formal)
Wir,We
Er,He
Sie,She
Links,Left
Rechts,Right
Geradeaus,Straight ahead
Hier,Here
Dort,There
