,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,5,6,aide,help
6,6,7,demande,request
7,7,8,genre,kind
8,8,9,mois,month
9,9,10,frère,brother
10,10,11,laisser,let
11,11,12,car,because
12,12,13,mettre,to put
13,13,14,aucun,no
14,14,15,laisse,leash
15,15,16,eux,them
16,16,17,ville,city
17,17,18,chaque,each
18,18,19,parlé,speak
19,19,20,arrivé,come
20,20,21,devrait,should
21,21,22,bébé,baby
22,22,23,longtemps,long time
23,23,24,heures,hours
24,24,25,vont,will
25,25,26,pendant,while
26,26,27,revoir,meet again
27,27,28,aucune,any
28,28,29,place,square
29,29,30,parle,speak
30,30,31,compris,understood
31,31,32,savais,knew
32,32,33,étaient,were
33,33,34,attention,Warning
34,34,35,voici,here is
35,35,36,pourrais,could
36,36,37,affaire,case
37,37,38,donner,give
38,38,39,type,type
39,39,40,leurs,their
40,40,41,donné,given
41,41,42,train,train
42,42,43,corps,body
43,43,44,endroit,place
44,44,45,yeux,eyes
45,45,46,façon,way
46,46,47,écoute,listen
47,47,48,dont,whose
48,48,49,trouve,find
49,49,50,premier,first
50,50,51,perdu,lost
51,51,52,main,hand
52,52,53,première,first
53,53,54,côté,side
54,54,55,pouvoir,power
55,55,56,vieux,old
56,56,57,sois,be
57,58,59,tellement,so much
58,59,60,enfant,child
59,60,61,point,point
60,61,62,venu,came
61,62,63,suite,after
62,63,64,pardon,sorry
63,64,65,venez,come
64,65,66,devant,in front of
65,66,67,vers,towards
66,67,68,minutes,minutes
67,68,69,chambre,bedroom
68,69,70,mis,placed
69,71,72,droit,law
70,72,73,aimerais,would like to
71,73,74,aujourd'hui,today
72,74,75,mari,husband
73,75,76,cause,cause
74,76,77,enfin,finally
75,77,78,eau,water
76,78,79,attendez,Wait
77,79,80,parti,left
78,80,81,nouvelle,new
79,81,82,boulot,job
80,82,83,arrêter,Stop
81,83,84,dirait,would say
82,84,85,terre,Earth
83,85,86,compte,account
84,86,87,donne,given
85,87,88,loin,far
86,88,89,fin,end
87,89,90,croire,believe
88,90,91,chérie,sweetheart
89,91,92,gros,large
90,92,93,plutôt,rather
91,93,94,aura,will have
92,94,95,filles,girls
93,95,96,jouer,to play
94,96,97,bureau,office
